https://greenpeacearabic.org/%D8%A3%D8%B4%D8%AC%D8%A7%D8%B1-%D8%B2%D9%8A%D8%AA-%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84-%D9%85%D9%86-%D9%8A%D9%82%D8%B6%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%BA%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84/,Migrate ,Post,Forests ,Story,#Forests,#Consumption,أشجار زيت النخيل: من يقضي على الغابات الاستوائية؟,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%A5-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A3%D8%B2%D9%85%D8%A9-%D9%81%D9%88%D9%83%D9%88%D8%B4%D9%8A%D9%85%D8%A7-%D9%88%D9%84%D8%A7-%D8%AA%D8%B2%D8%A7%D9%84-%D8%A7%D9%84%D9%83%D8%A7/,Migrate ,Post,Nature,Press Release,,,٥ سنوات على أزمة فوكوشيما ولا تزال الكارثة مستمرة,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%AA%D8%B7%D9%84%D9%82-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%B4%D9%87%D8%AF-%D8%A7%D9%84%D8%B9/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,غرينبيس الدولية تطلق تقرير “المشهد العالمي للكهرباء الشمسية الحرارية 2015”,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%AA%D8%AD%D9%82%D9%8A%D9%82-%D8%B3%D8%B1%D9%91%D9%8A-%D9%84%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D9%8A%D9%83%D8%B4%D9%81-%D8%AA%D9%84%D9%82%D9%8A-%D8%B9%D9%84%D9%85%D8%A7%D8%A1-%D8%AA%D9%85/,Migrate ,Post,Energy,Story,#Climate,,تحقيق سرّي لغرينبيس يكشف تلقي علماء تمويلاً من شركات كبرى لصياغة تقارير تشكك في تغيّر المناخ,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%A7%D9%84%D8%A5%D8%AA%D9%81%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D9%88%D9%88%D9%8A-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A-%D8%AE%D8%B7%D9%8A%D8%B1-%D9%88%D9%8A%D9%81/,Migrate ,Post,Energy,Press Release,,,الإتفاق النووي المصري الروسي خطير ويفتقر إلى المسوؤلية ولا حاجة له,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%A7%D9%84%D8%BA%D8%A7%D8%A1-%D9%85%D8%B3%D9%8A%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE-%D9%81%D9%8A-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3/,Migrate ,Post,Energy,Press Release,#Climate,,الغاء مسيرة المناخ في باريس,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%AD%D9%85%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%A8%D8%A8%D9%84%D8%A7%D8%B4/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,حملة “الشمس ببلاش”- Campaign info + clippings,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D9%91%D8%B7-%D8%AA%D9%8F%D8%B7%D9%84%D9%90%D9%82-%D8%AD%D9%85%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%A8%D8%A8/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,"غرينبيس المتوسّط تُطلِق حملة “الشمس ببلاش” الطاقة الشمسية حلٌّ لأزمة الكهرباء في لبنان
to add the link to the report",,,Fadi Gedeon
https://greenpeacearabic.org/%D8%B3%D9%8A%D9%91%D8%AF%D8%AA%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%B1%D8%A3%D8%B3-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D9%81%D9%8A-%D8%B3%D8%A7%D8%A8/,Migrate ,Post,,Press Release,#AboutUs,,سيّدتان على رأس غرينبيس الدولية في سابقة في مسيرتها,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%B9%D8%A7%D9%86/,Migrate ,Post,Energy,Press Release,#EnergyRevolution,,مشروع معان لطاقة الرياح يضع الأردن على خارطة المنافسة العربية,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D8%AD%D8%B7%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D8%AD%D9%85-%D8%A7%D9%84%D8%AD%D8%AC%D8%B1%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D8%AA%D8%B3%D8%AA%D9%87%D9%84%D9%83-%D9%85%D9%8A/,Migrate ,Post,Energy,Press Release,#Coal,#Water,محطات الفحم الحجري في العالم تستهلك مياهً عذبة تكفي مليار نسمة ,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%8A%D9%84%D8%A7_%D8%B9%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9_%D8%A7%D9%84%D8%B4%D9%85%D8%B3%D9%8A%D8%A9/,Migrate ,Post,Ships,Story,#EnergyRevolution,#Climate,#يلا_عالطاقة_الشمسية ضمن جولة #الشمس_تجمعنا على متن سفينة #الراينبو_وارير,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D8%A7%D8%B9%D9%84%D8%A7%D9%86-%D8%AC%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%AA%D8%AC%D9%85%D8%B9%D9%86%D8%A7-%D8%B9%D9%84%D9%89-%D9%85%D8%AA%D9%86-%D8%B3/,Migrate ,Post,,Publication,,,مؤتمر اعلان جولة الشمس تجمعنا على متن سفينة الراينبو وارير,,,Fadi Gedeon
https://greenpeacearabic.org/rainbow-warrior-open-boat-day/,Migrate ,Post,Ships,Press Release,#Climate,#EnergyRevolution,سفينتنا الأسطورية، راينبو واريور تزور لبنان!,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D9%88%D9%82%D9%81-%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D9%85%D9%86-%D8%B4%D8%AD%D9%86%D8%A9-%D8%A7%D9%84%D9%86%D9%81%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B5%D8%AF%D8%B1%D8%A9/,Migrate ,Post,Nature,Press Release,#Waste,#Consumption,موقف غرينبيس من شحنة النفايات المصدرة من ايطاليا الى المغرب,,,Fadi Gedeon
https://greenpeacearabic.org/%D9%85%D9%87%D8%A7-%D9%88%D8%A7%D9%84%D8%B4%D9%85%D8%B3/,Migrate ,Post,,Publication,,,مها والشمس,,,Fadi Gedeon
https://greenpeacearabic.org/%D8%BA%D8%B1%D9%8A%D9%86%D8%A8%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D8%B7-%D8%AA%D8%AD%D9%8A%D9%8A-%D8%A8%D8%AF%D8%A1-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%A8/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,غرينبيس المتوسط تحيي بدء تنفيذ اتفاق باريس وتحثّ الدول العربيّة على تصديقها,,,Fadi Gedeon
https://greenpeacearabic.org/peaceday/,Migrate ,Post,,Press Release,,,"لنجعله سلامًا أخضر
PEACE",,,Fadi Gedeon
https://greenpeacearabic.org/rwleb/,Migrate ,Post,,Press Release,,,أجمل اللحظات لسفينة الراينبو واريور في لبنان,,,Fadi Gedeon
https://greenpeacearabic.org/solarheroes/,Migrate ,Post,Energy,Press Release,#Climate,#EnergyRevolution,أبطال الطاقة المتجددة من قرية اريغ ن تاهلة,,,Fadi Gedeon
